epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,721.161,0.89367,0.57579,0.46795,0.86971,0.73081,0.79354,0.36078,0.62253,0.45218,0.42841,0.0700183,0.0033313,0.0033313
2,1439.23,0.92744,0.44142,0.46514,0.90844,0.88808,0.9093,0.52627,0.46705,0.46745,0.3884,0.0396884,0.00633473,0.00633473
3,2137.76,0.73798,0.45226,0.35399,0.93455,0.91604,0.93966,0.59252,0.40224,0.40636,0.2931,0.00902854,0.00900816,0.00900816
4,2844.55,0.49244,0.42073,0.24381,0.92941,0.94561,0.95288,0.71039,0.28962,0.35673,0.24884,0.008515,0.008515,0.008515
5,3558.2,0.45536,0.41338,0.22453,0.94929,0.94185,0.95543,0.71656,0.28351,0.34608,0.25335,0.00802,0.00802,0.00802
6,4265.28,0.43665,0.40581,0.217,0.95532,0.94789,0.96212,0.72718,0.2861,0.346,0.24448,0.007525,0.007525,0.007525
7,4984.64,0.42028,0.40055,0.20365,0.95074,0.94887,0.95964,0.75561,0.25983,0.33286,0.23244,0.00703,0.00703,0.00703
8,5488.4,0.39383,0.38979,0.19325,0.94828,0.94887,0.9609,0.77086,0.25139,0.32302,0.22837,0.006535,0.006535,0.006535
9,5845.14,0.36966,0.38524,0.1839,0.95247,0.94934,0.96517,0.75713,0.26031,0.32841,0.23405,0.00604,0.00604,0.00604
10,6202,0.35335,0.37774,0.18074,0.95423,0.95459,0.96475,0.78457,0.24693,0.31468,0.22283,0.005545,0.005545,0.005545
11,6558.64,0.33234,0.35336,0.20731,0.95998,0.95213,0.96547,0.79195,0.2396,0.31812,0.22381,0.00505,0.00505,0.00505
12,6914.79,0.31804,0.34862,0.20094,0.95303,0.9541,0.96435,0.78133,0.23899,0.32198,0.21742,0.004555,0.004555,0.004555
13,7271.64,0.29903,0.3378,0.19216,0.95856,0.95592,0.96875,0.80404,0.22815,0.30624,0.21405,0.00406,0.00406,0.00406
14,7627.91,0.28074,0.32737,0.18729,0.96304,0.95737,0.96829,0.80079,0.23043,0.30581,0.21281,0.003565,0.003565,0.003565
15,7984.21,0.25201,0.31155,0.17639,0.96198,0.95874,0.9709,0.81327,0.22278,0.29629,0.2121,0.00307,0.00307,0.00307
16,8340.91,0.242,0.3026,0.17254,0.9597,0.959,0.97156,0.82275,0.21657,0.28986,0.20617,0.002575,0.002575,0.002575
17,8697.01,0.22454,0.29038,0.16565,0.96163,0.95793,0.97213,0.82806,0.21781,0.28932,0.20893,0.00208,0.00208,0.00208
18,9053.29,0.21258,0.2782,0.16279,0.9614,0.95606,0.9707,0.83363,0.21595,0.28809,0.20619,0.001585,0.001585,0.001585
19,9409.65,0.20381,0.27036,0.15846,0.96438,0.95639,0.97005,0.83833,0.21398,0.29053,0.20622,0.00109,0.00109,0.00109
20,9765.86,0.19287,0.26162,0.1517,0.96258,0.96063,0.97248,0.84176,0.21136,0.28271,0.20466,0.000595,0.000595,0.000595
