epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.879,0.87843,0.77483,1.18122,0.94259,0.9145,0.94651,0.73789,0.84657,0.55082,1.10117,0.0700183,0.0033313,0.0033313
2,532.997,0.88217,0.64237,1.14828,0.94673,0.90934,0.94771,0.74267,0.82697,0.56345,1.11166,0.0396884,0.00633473,0.00633473
3,782.791,0.93888,0.69306,1.20353,0.92441,0.90292,0.93192,0.70231,0.92304,0.64771,1.2012,0.00902854,0.00900816,0.00900816
4,1054.13,0.95626,0.69491,1.21793,0.95085,0.90059,0.95174,0.75118,0.80318,0.57025,1.11858,0.008515,0.008515,0.008515
5,1325.55,0.89263,0.64253,1.18367,0.94794,0.919,0.94946,0.75793,0.78507,0.5577,1.1076,0.00802,0.00802,0.00802
6,1584.99,0.85632,0.60169,1.16702,0.93479,0.92723,0.94347,0.75502,0.7748,0.57326,1.10827,0.007525,0.007525,0.007525
7,1855.96,0.81635,0.58008,1.13825,0.95356,0.93842,0.96008,0.78359,0.7551,0.4994,1.08245,0.00703,0.00703,0.00703
8,2126.93,0.7927,0.56596,1.1297,0.95521,0.93711,0.96176,0.79321,0.71129,0.50906,1.07623,0.006535,0.006535,0.006535
9,2386.09,0.76678,0.54478,1.11823,0.94588,0.9479,0.96004,0.80038,0.71585,0.4698,1.08506,0.00604,0.00604,0.00604
10,2656.59,0.755,0.53338,1.113,0.9527,0.94495,0.96297,0.81019,0.67421,0.4866,1.03689,0.005545,0.005545,0.005545
11,2915.14,0.70745,0.47439,1.08611,0.9593,0.94561,0.96398,0.80315,0.69327,0.48504,1.0734,0.00505,0.00505,0.00505
12,3184.66,0.6919,0.46583,1.07908,0.95601,0.94299,0.96503,0.81552,0.66013,0.47382,1.04971,0.004555,0.004555,0.004555
13,3454.65,0.67076,0.45088,1.06571,0.95347,0.95312,0.96385,0.81578,0.64855,0.47773,1.04962,0.00406,0.00406,0.00406
14,3718.4,0.64952,0.43737,1.05363,0.96532,0.94642,0.9675,0.83232,0.63075,0.45063,1.01078,0.003565,0.003565,0.003565
15,3991.23,0.6375,0.42424,1.04155,0.96386,0.94953,0.9678,0.83454,0.62867,0.445,1.033,0.00307,0.00307,0.00307
16,4263.39,0.62331,0.41262,1.03428,0.95551,0.95132,0.96641,0.83654,0.61904,0.43963,1.0135,0.002575,0.002575,0.002575
17,4523.97,0.60444,0.40111,1.01764,0.95815,0.95359,0.96904,0.8413,0.60818,0.43499,1.01166,0.00208,0.00208,0.00208
18,4796.31,0.59238,0.3869,1.01673,0.95856,0.95247,0.96956,0.84743,0.59743,0.41204,1.00209,0.001585,0.001585,0.001585
19,5052.74,0.57626,0.37632,1.00206,0.96222,0.95002,0.96953,0.84973,0.58714,0.4111,0.97572,0.00109,0.00109,0.00109
20,5324.71,0.5603,0.36184,0.99323,0.9613,0.95018,0.97001,0.85457,0.58038,0.40316,0.98195,0.000595,0.000595,0.000595
