epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.755,2.25982,2.01235,2.83228,0.91567,0.89209,0.93544,0.64284,2.30737,1.18318,2.4259,0.0700367,0.00332926,0.00332926
2,385.685,2.20759,1.43246,2.64225,0.88991,0.86638,0.91636,0.67108,1.99635,1.22354,2.37079,0.0399048,0.00653067,0.00653067
3,566.882,2.31973,1.53542,2.81611,0.87544,0.84368,0.88278,0.53077,2.7557,1.68824,3.01114,0.00964084,0.00960009,0.00960009
4,750.314,2.35267,1.55141,2.83799,0.90067,0.85459,0.91613,0.62063,2.31914,1.19449,2.84716,0.009406,0.009406,0.009406
5,928.361,2.22878,1.40192,2.784,0.89366,0.8456,0.90983,0.65236,1.99218,1.30786,2.59392,0.009208,0.009208,0.009208
6,1106.55,2.15537,1.35797,2.7442,0.88305,0.86335,0.91789,0.6854,1.85036,1.10757,2.49495,0.00901,0.00901,0.00901
7,1286.01,2.08211,1.28191,2.67745,0.91352,0.88517,0.93657,0.71336,1.78071,0.93472,2.52199,0.008812,0.008812,0.008812
8,1465.28,1.99787,1.22708,2.63404,0.92665,0.90183,0.94765,0.72383,1.80194,0.8922,2.51332,0.008614,0.008614,0.008614
9,1649.4,1.95115,1.19628,2.62378,0.91765,0.901,0.94391,0.74702,1.6617,0.951,2.45697,0.008416,0.008416,0.008416
10,1827.36,1.90829,1.16916,2.58594,0.92616,0.91212,0.95263,0.75521,1.63547,0.86315,2.43206,0.008218,0.008218,0.008218
11,2009.44,1.88912,1.15602,2.56976,0.93181,0.91408,0.95214,0.76792,1.6222,0.87393,2.43201,0.00802,0.00802,0.00802
12,2188.17,1.84962,1.14155,2.55,0.93316,0.91222,0.95386,0.76448,1.63779,0.86918,2.41283,0.007822,0.007822,0.007822
13,2370.42,1.82002,1.12537,2.52074,0.93778,0.91718,0.95893,0.77262,1.6043,0.81124,2.32897,0.007624,0.007624,0.007624
14,2556.39,1.78711,1.10607,2.51676,0.93697,0.9211,0.9592,0.79125,1.52903,0.8347,2.36693,0.007426,0.007426,0.007426
15,2737.27,1.75972,1.08631,2.49918,0.9414,0.92192,0.9593,0.78238,1.55446,0.80763,2.28701,0.007228,0.007228,0.007228
16,2924.93,1.74571,1.06359,2.4765,0.94672,0.92911,0.96281,0.78839,1.5385,0.79407,2.3134,0.00703,0.00703,0.00703
17,3111.59,1.7259,1.04117,2.45606,0.9506,0.92403,0.96362,0.79737,1.49267,0.75824,2.36918,0.006832,0.006832,0.006832
18,3296.62,1.70184,1.04459,2.46071,0.95402,0.9229,0.96269,0.80064,1.47363,0.76928,2.31392,0.006634,0.006634,0.006634
19,3478.18,1.68374,1.03449,2.43934,0.95205,0.93409,0.96575,0.81168,1.45919,0.7391,2.28495,0.006436,0.006436,0.006436
20,3665.02,1.65342,1.02925,2.41907,0.94156,0.93728,0.96356,0.80779,1.44222,0.76502,2.25381,0.006238,0.006238,0.006238
21,3858.27,1.65054,1.00922,2.4112,0.9455,0.9376,0.9652,0.80323,1.44515,0.77278,2.23881,0.00604,0.00604,0.00604
22,4043.98,1.62618,1.00629,2.39496,0.93885,0.93613,0.96539,0.8077,1.42664,0.75935,2.16629,0.005842,0.005842,0.005842
23,4219.25,1.60648,0.98694,2.3795,0.94827,0.93613,0.96564,0.82717,1.37063,0.7446,2.19439,0.005644,0.005644,0.005644
24,4402.81,1.59955,0.98408,2.36944,0.95062,0.94032,0.96826,0.82375,1.39101,0.69486,2.21697,0.005446,0.005446,0.005446
25,4584.92,1.57775,0.96239,2.35975,0.95768,0.93581,0.97013,0.82504,1.37456,0.70704,2.16235,0.005248,0.005248,0.005248
26,4764,1.56978,0.95412,2.34072,0.95362,0.94348,0.97023,0.82351,1.37564,0.72874,2.135,0.00505,0.00505,0.00505
27,4938.01,1.54363,0.95885,2.34142,0.94905,0.94218,0.96769,0.82955,1.33273,0.72339,2.25112,0.004852,0.004852,0.004852
28,5119.19,1.51473,0.93923,2.34629,0.95542,0.94162,0.96898,0.83028,1.33489,0.70847,2.17325,0.004654,0.004654,0.004654
29,5304.05,1.50558,0.93414,2.31894,0.95461,0.94124,0.9692,0.82746,1.37311,0.71489,2.14733,0.004456,0.004456,0.004456
30,5492.42,1.49542,0.92427,2.31888,0.95388,0.9443,0.9701,0.83979,1.29194,0.70621,2.14889,0.004258,0.004258,0.004258
31,5669,1.45969,0.91709,2.28077,0.95798,0.9384,0.97085,0.83951,1.28091,0.7161,2.1222,0.00406,0.00406,0.00406
32,5850.19,1.44519,0.90339,2.27276,0.95803,0.94038,0.97037,0.84519,1.27294,0.70053,2.12018,0.003862,0.003862,0.003862
33,6039.86,1.43012,0.89923,2.27253,0.95486,0.93974,0.97016,0.84223,1.26712,0.70931,2.13961,0.003664,0.003664,0.003664
34,6222.91,1.42265,0.89494,2.2519,0.95878,0.94215,0.9712,0.84692,1.25785,0.6851,2.12174,0.003466,0.003466,0.003466
35,6412.46,1.40806,0.88677,2.25512,0.96125,0.9412,0.9721,0.84525,1.26604,0.68716,2.12924,0.003268,0.003268,0.003268
36,6594.71,1.39207,0.87728,2.26265,0.95843,0.9453,0.97315,0.84688,1.24773,0.68977,2.14017,0.00307,0.00307,0.00307
37,6778.45,1.37783,0.86754,2.23922,0.95668,0.94659,0.97248,0.84916,1.24347,0.68067,2.10958,0.002872,0.002872,0.002872
38,6965.14,1.35926,0.85568,2.24722,0.963,0.93858,0.97328,0.85251,1.23122,0.69308,2.14609,0.002674,0.002674,0.002674
39,7211.47,1.34867,0.86152,2.22411,0.9639,0.94103,0.97156,0.852,1.22573,0.70724,2.11038,0.002476,0.002476,0.002476
40,7760.34,1.33229,0.83917,2.21625,0.95096,0.95021,0.97301,0.85323,1.23308,0.69561,2.13327,0.002278,0.002278,0.002278
